PERMNO	date	COMNAM	RET
49154	10/26/2022	TARGET CORP	0.00585
49154	10/27/2022	TARGET CORP	0.000779
49154	10/28/2022	TARGET CORP	0.003715
49154	10/31/2022	TARGET CORP	-0.01952
49154	11/1/2022	TARGET CORP	0.00207
49154	11/2/2022	TARGET CORP	-0.026672
49154	11/3/2022	TARGET CORP	-0.002497
49154	11/4/2022	TARGET CORP	-0.001064
49154	11/7/2022	TARGET CORP	0.001503
49154	11/8/2022	TARGET CORP	0.010946
49154	11/9/2022	TARGET CORP	-0.053397
49154	11/10/2022	TARGET CORP	0.074449
49154	11/11/2022	TARGET CORP	0.054386
49154	11/14/2022	TARGET CORP	-0.000346
49154	11/15/2022	TARGET CORP	0.039247
49154	11/16/2022	TARGET CORP	-0.131355
49154	11/17/2022	TARGET CORP	0.042066
49154	11/18/2022	TARGET CORP	0.00537
49154	11/21/2022	TARGET CORP	-0.029838
49154	11/22/2022	TARGET CORP	-0.001013
49154	11/23/2022	TARGET CORP	0.035158
49154	11/25/2022	TARGET CORP	-0.000184
49154	11/28/2022	TARGET CORP	0.01218
49154	11/29/2022	TARGET CORP	0.006047
49154	11/30/2022	TARGET CORP	0.004208
49154	12/1/2022	TARGET CORP	-0.012211
49154	12/2/2022	TARGET CORP	-0.005272
49154	12/5/2022	TARGET CORP	-0.056226
49154	12/6/2022	TARGET CORP	0.000775
49154	12/7/2022	TARGET CORP	-0.00832
49154	12/8/2022	TARGET CORP	0.002927
49154	12/9/2022	TARGET CORP	-0.012515
49154	12/12/2022	TARGET CORP	-0.014775
49154	12/13/2022	TARGET CORP	0.005599
49154	12/14/2022	TARGET CORP	0.01087
49154	12/15/2022	TARGET CORP	-0.032195
49154	12/16/2022	TARGET CORP	-0.007791
49154	12/19/2022	TARGET CORP	-0.012291
49154	12/20/2022	TARGET CORP	-0.009678
49154	12/21/2022	TARGET CORP	-0.006632
49154	12/22/2022	TARGET CORP	-0.006676
49154	12/23/2022	TARGET CORP	0.012734
49154	12/27/2022	TARGET CORP	0.016766
49154	12/28/2022	TARGET CORP	0.001718
49154	12/29/2022	TARGET CORP	0.017627
49154	12/30/2022	TARGET CORP	0.004516
49154	1/3/2023	TARGET CORP	0.018049
49154	1/4/2023	TARGET CORP	0.006525
49154	1/5/2023	TARGET CORP	0.010084
49154	1/6/2023	TARGET CORP	0.038182
49154	1/9/2023	TARGET CORP	-0.023728
49154	1/10/2023	TARGET CORP	-0.00243
49154	1/11/2023	TARGET CORP	0.019234
49154	1/12/2023	TARGET CORP	0.004907
49154	1/13/2023	TARGET CORP	0.03036
49154	1/17/2023	TARGET CORP	-0.015188
49154	1/18/2023	TARGET CORP	-0.007835
49154	1/19/2023	TARGET CORP	-0.010757
49154	1/20/2023	TARGET CORP	0.019547
49154	1/23/2023	TARGET CORP	0.014919
49154	1/24/2023	TARGET CORP	-0.00656
49154	1/25/2023	TARGET CORP	0.004035
49154	1/26/2023	TARGET CORP	0.017173
49154	1/27/2023	TARGET CORP	0.008861
49154	1/30/2023	TARGET CORP	0.001009
49154	1/31/2023	TARGET CORP	0.020512
49154	2/1/2023	TARGET CORP	0.028698
49154	2/2/2023	TARGET CORP	0.02225
49154	2/3/2023	TARGET CORP	-0.023533
49154	2/6/2023	TARGET CORP	-0.01652
49154	2/7/2023	TARGET CORP	0.005292
49154	2/8/2023	TARGET CORP	-0.016995
49154	2/9/2023	TARGET CORP	-0.002445
49154	2/10/2023	TARGET CORP	-0.007878
49154	2/13/2023	TARGET CORP	0.019409
49154	2/14/2023	TARGET CORP	-0.006174
49154	2/15/2023	TARGET CORP	0.028334
49154	2/16/2023	TARGET CORP	-0.008408
49154	2/17/2023	TARGET CORP	-0.007563
49154	2/21/2023	TARGET CORP	-0.040411
49154	2/22/2023	TARGET CORP	-0.003008
