,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,,,,,,,,,,
193308,-0.008314758,0.086825659,0.035587189,0.052868165,0.001665846,,,,,,,,-0.000721934,,
193309,-0.174980758,-0.140048341,-0.211290811,-0.186570835,-0.183194154,,,,,,,,0.024505765,,
193310,-0.128314758,-0.164745341,-0.073282811,-0.115690835,-0.180054154,,,,,,,,0.021139259,,
193311,-0.008314758,0.022416659,-0.026930811,0.112257165,0.061603846,,,,,,,,-0.000186389,,
193312,-0.371950758,-0.039132341,-0.082672811,-0.031693835,0.010595846,,,,,,,,0.014555304,,
193401,0.991685242,0.440719659,0.418043189,0.405440165,0.400142846,,,,,,,,0.437055182,,
193402,-0.151171758,0.111588659,0.025884189,0.083916165,0.045392846,,,,,,,,-0.016869054,,
193403,0.075018242,-0.018077341,0.005246189,0.025394165,-0.037792154,,,,,,,,-0.00135613,,
193404,-0.008314758,0.014850659,0.044225189,0.041829165,-0.013565154,,,,,,,,-0.00012348,,
193405,-0.123698758,-0.100929341,-0.143076811,-0.144398835,-0.179885154,,,,,,,,0.012484834,,
193406,-0.225705758,-0.040615341,0.014436189,-0.022746835,-0.012579154,,,,,,,,0.009167116,,
193407,-0.212036758,-0.310278341,-0.273586811,-0.253368835,-0.261407154,,,,,,,,0.065790414,,
193408,0.142915242,0.177152659,0.047735189,0.107897165,0.121377846,,,,,,,,0.025317815,,
193409,-0.026358758,-0.109720341,-0.060854811,-0.015479835,-0.042881154,,,,,,,,0.002892092,,
193410,0.020148242,-0.007479341,-0.054455811,-0.098339835,-0.030964154,,,,,,,,-0.000150696,,
193411,0.063743242,0.114604659,0.274361189,0.157674165,0.143778846,,,,,,,,0.007305272,,
193412,0.053161242,-0.041000341,-0.005208811,-0.005898835,-0.040531154,,,,,,,,-0.002179629,,
193501,-0.048027758,-0.117367341,-0.112307811,0.014227165,-0.064224154,,,,,,,,0.00563689,,
193502,-0.160849758,-0.152896341,-0.087253811,-0.092518835,-0.132358154,,,,,,,,0.024593339,,
193503,-0.062961758,-0.155243341,-0.118029811,-0.182063835,-0.102939154,,,,,,,,0.009774394,,
193504,0.361757242,-0.001840341,0.090463189,0.108448165,0.106010846,,,,,,,,-0.000665757,,
193505,-0.191552758,-0.032125341,0.065069189,0.001000165,-0.005811154,,,,,,,,0.006153698,,
193506,0.007768242,-0.019625341,-0.036389811,0.034393165,-0.006972154,,,,,,,,-0.000152454,,
